,MedkRV
2021-12-30,0.0008519131033330248
2022-01-02,0.002135852714224005
2022-01-03,0.0013104631139466208
2022-01-04,0.002085526422187192
2022-01-05,0.0030398742826281532
2022-01-06,0.0014160547142625306
2022-01-09,0.0012927902547424197
2022-01-10,0.0011541307159527278
2022-01-11,0.0008329320876391915
2022-01-12,0.0009966990274569707
2022-01-13,0.0012197979602581496
2022-01-16,0.0003770236470923117
2022-01-17,0.004111924694141411
2022-01-18,0.0017184644985043485
2022-01-19,0.0010774775478920107
2022-01-20,0.0014909143999368895
2022-01-23,0.0018565759978268143
2022-01-24,0.002561558367748833
2022-01-25,0.002766236549417115
2022-01-26,0.003134836989506499
2022-01-30,0.0011179827623844717
2022-01-31,0.0008944632407592059
2022-02-01,0.0007986263421594917
2022-02-02,0.0029101606163561004
2022-02-03,0.003548748017902256
2022-02-06,0.0007415723610099138
2022-02-07,0.0008219801491104429
2022-02-08,0.0007036576260087895
2022-02-09,0.001812789284983665
2022-02-10,0.003725524195041763
2022-02-13,0.0021017019558491877
2022-02-14,0.003243854337045247
2022-02-15,0.0014597036374803562
2022-02-16,0.0027893321568570645
2022-02-17,0.0020289392531884407
2022-02-20,0.0018704547629694959
2022-02-21,0.0022203647664264907
2022-02-22,0.0013865188570295179
2022-02-23,0.020492020753378127
2022-02-24,0.005379486493406106
2022-02-27,0.004594314084869985
2022-02-28,0.0032602673595510845
2022-03-01,0.0052820689345249245
2022-03-02,0.002353550406382452
2022-03-03,0.004146827042751435
2022-03-06,0.009616443057656807
2022-03-07,0.023714114244080677
2022-03-08,0.012812910264238175
2022-03-09,0.0072169060206294395
2022-03-10,0.00684076322803363
2022-03-13,0.0034318779603811716
2022-03-14,0.005676786340465676
2022-03-15,0.0059736222297384605
2022-03-16,0.00275515375072609
2022-03-17,0.0027376467946026222
2022-03-20,0.0022801291080121835
2022-03-21,0.002588918864548892
2022-03-22,0.0019708480002246192
2022-03-23,0.003853254360897075
2022-03-24,0.0022941826077114476
2022-03-27,0.004561464988230656
2022-03-28,0.0050246010876575705
2022-03-31,0.0027025301795890414
2022-04-03,0.0017909599508283852
2022-04-04,0.002968146601954658
2022-04-05,0.002570143264999695
2022-04-06,0.0013883126433788973
2022-04-07,0.0015776297281006738
2022-04-10,0.00350926895310514
2022-04-11,0.0033077408114419097
2022-04-12,0.00184331882484568
2022-04-13,0.002975953003452171
2022-04-17,0.0022907878132875136
2022-04-18,0.0036818231698536198
2022-04-19,0.0017825418602056941
2022-04-20,0.0023435500992040116
2022-04-21,0.004311308035166584
2022-04-24,0.0038100157820561372
2022-04-25,0.0024169187529524297
2022-04-26,0.002886487729799288
2022-04-27,0.003268780697634993
2022-04-28,0.0032736069186728427
2022-05-01,0.003992130637315147
2022-05-02,0.00273339677254733
2022-05-03,0.00406242082967624
2022-05-04,0.004261482148751146
2022-05-05,0.003092656930097228
2022-05-08,0.0027527399186280475
2022-05-09,0.0031937047931180807
2022-05-10,0.0038849708482421486
